Room Name,Day,Start Time,End Time,Subject Code,Section ID,Teacher Name
Room 185,Friday,8:30:00,9:30:00,157,SEC055,Gutierrez Gutierrez
Room 185,Friday,9:30:00,10:00:00,185,SEC045,Rimarim Rimarim
Room 185,Monday,7:30:00,8:30:00,11,SEC062,Manago Manago
Room 185,Monday,10:30:00,11:00:00,17,SEC063,Morales Morales
Room 185,Monday,15:00:00,16:00:00,173,SEC024,Alde Alde
Room 185,Saturday,10:00:00,11:00:00,181,SEC045,Alejo Alejo
Room 185,Saturday,12:00:00,13:00:00,170,SEC070,Orbita Orbita
Room 185,Saturday,13:00:00,14:00:00,231,SEC071,Bitancor Bitancor
Room 185,Saturday,16:00:00,17:00:00,178,SEC025,Dela Cruz Dela Cruz
Room 185,Thursday,7:30:00,8:30:00,195,SEC047,Bacongallo Bacongallo
Room 185,Thursday,12:00:00,13:00:00,157,SEC032,Gutierrez Gutierrez
Room 185,Tuesday,16:00:00,17:00:00,158,SEC055,Binaluyo Binaluyo
