Room Name,Day,Start Time,End Time,Subject Code,Section ID,Teacher Name
Room 172,Friday,7:30:00,8:30:00,Homeroom,SEC072,Maniba Maniba
Room 172,Friday,11:00:00,12:00:00,198,SEC037,Baraquel Baraquel
Room 172,Friday,14:00:00,15:00:00,226,SEC049,Layag Layag
Room 172,Monday,14:00:00,15:00:00,27,SEC051,De Asis De Asis
Room 172,Saturday,11:00:00,12:00:00,171,SEC024,Odtohan Odtohan
Room 172,Saturday,12:00:00,13:00:00,2,SEC038,Cabrera Cabrera
Room 172,Thursday,7:30:00,8:30:00,197,SEC060,Gabiola Gabiola
Room 172,Thursday,8:30:00,9:30:00,30,SEC041,Barretto Barretto
Room 172,Thursday,12:00:00,13:00:00,29,SEC031,De Asis De Asis
Room 172,Tuesday,8:30:00,9:30:00,169,SEC044,Orbita Orbita
Room 172,Tuesday,11:00:00,12:00:00,156,SEC042,Achapero Achapero
Room 172,Wednesday,10:00:00,11:00:00,9,SEC039,Valdez Valdez
