Room Name,Day,Start Time,End Time,Subject Code,Section ID,Teacher Name
Room 193,Monday,7:30:00,8:30:00,187,SEC072,Cadiente Cadiente
Room 193,Monday,8:30:00,9:30:00,9,SEC039,Valdez Valdez
Room 193,Monday,9:30:00,10:00:00,17,SEC063,Morales Morales
Room 193,Monday,10:00:00,11:00:00,178,SEC071,Dela Cruz Dela Cruz
Room 193,Monday,11:00:00,12:00:00,189,SEC059,Delos Santos Delos Santos
Room 193,Monday,13:00:00,14:00:00,13,SEC029,Manago Manago
Room 193,Monday,16:00:00,17:00:00,174,SEC024,Alde Alde
Room 193,Saturday,11:00:00,12:00:00,22,SEC050,Gumabon Gumabon
Room 193,Saturday,16:00:00,17:00:00,174,SEC044,Alde Alde
Room 193,Thursday,8:30:00,9:30:00,20,SEC063,De Lara De Lara
Room 193,Tuesday,9:30:00,10:30:00,165,SEC056,Napili Napili
Room 193,Tuesday,14:00:00,15:00:00,216,SEC037,Baraquel Baraquel
Room 193,Wednesday,15:00:00,16:00:00,18,SEC076,Morales Morales
