Room Name,Day,Start Time,End Time,Subject Code,Section ID,Teacher Name
Room 109,Monday,8:30:00,9:30:00,180,SEC071,Rimarim Rimarim
Room 109,Saturday,13:00:00,14:00:00,156,SEC055,Achapero Achapero
Room 109,Thursday,8:30:00,9:30:00,195,SEC060,Bacongallo Bacongallo
Room 109,Thursday,11:00:00,12:00:00,8,SEC048,Cabasbas Cabasbas
Room 109,Tuesday,7:30:00,8:30:00,194,SEC036,Ramirez Ramirez
Room 109,Tuesday,11:00:00,12:00:00,217,SEC061,Ballesteros Ballesteros
Room 109,Tuesday,13:00:00,14:00:00,151,SEC049,Valdez Valdez
Room 109,Wednesday,9:30:00,10:00:00,3,SEC074,Canadilla Canadilla
Room 109,Wednesday,11:00:00,12:00:00,173,SEC057,Alde Alde
Room 109,Wednesday,14:00:00,15:00:00,184,SEC025,Bitancor Bitancor
