Room Name,Day,Start Time,End Time,Subject Code,Section ID,Teacher Name
Room 174,Friday,7:30:00,8:30:00,Homeroom,SEC074,Cabrera Cabrera
Room 174,Friday,8:30:00,9:30:00,223,SEC031,Layag Layag
Room 174,Friday,11:00:00,12:00:00,162,SEC069,Carrasco Carrasco
Room 174,Friday,12:00:00,13:00:00,178,SEC035,Dela Cruz Dela Cruz
Room 174,Friday,14:00:00,15:00:00,184,SEC025,Bitancor Bitancor
Room 174,Monday,9:30:00,10:00:00,12,SEC039,Manago Manago
Room 174,Thursday,7:30:00,8:30:00,2,SEC048,Cabrera Cabrera
Room 174,Thursday,15:00:00,16:00:00,13,SEC029,Manago Manago
Room 174,Tuesday,7:30:00,8:30:00,6,SEC074,Cabasbas Cabasbas
Room 174,Tuesday,8:30:00,9:30:00,147,SEC071,Berza Berza
Room 174,Tuesday,12:00:00,13:00:00,189,SEC036,Delos Santos Delos Santos
