Room Name,Day,Start Time,End Time,Subject Code,Section ID,Teacher Name
Room 156,Friday,10:00:00,11:00:00,29,SEC051,De Asis De Asis
Room 156,Friday,11:00:00,12:00:00,1,SEC048,Cabrera Cabrera
Room 156,Monday,7:30:00,8:30:00,184,SEC025,Bitancor Bitancor
Room 156,Saturday,8:30:00,9:30:00,26,SEC041,Abanto Abanto
Room 156,Saturday,9:30:00,10:00:00,182,SEC025,Alejo Alejo
Room 156,Saturday,11:00:00,12:00:00,26,SEC064,Abanto Abanto
Room 156,Saturday,13:00:00,14:00:00,187,SEC026,Cadiente Cadiente
Room 156,Saturday,14:00:00,15:00:00,160,SEC056,Fernando Fernando
Room 156,Tuesday,14:00:00,15:00:00,169,SEC024,Orbita Orbita
Room 156,Wednesday,15:00:00,16:00:00,4,SEC028,Canadilla Canadilla
