Room Name,Day,Start Time,End Time,Subject Code,Section ID,Teacher Name
Room 231,Friday,15:00:00,16:00:00,190,SEC046,Delos Santos Delos Santos
Room 231,Saturday,8:30:00,9:30:00,193,SEC026,Ramirez Ramirez
Room 231,Saturday,9:30:00,10:30:00,13,SEC062,Manago Manago
Room 231,Saturday,11:00:00,12:00:00,13,SEC049,Manago Manago
Room 231,Saturday,16:00:00,17:00:00,196,SEC047,Gabiola Gabiola
Room 231,Thursday,7:30:00,8:30:00,171,SEC024,Odtohan Odtohan
Room 231,Thursday,11:00:00,12:00:00,7,SEC048,Tabones Tabones
Room 231,Thursday,14:00:00,15:00:00,192,SEC059,Lati Lati
Room 231,Tuesday,8:30:00,9:30:00,5,SEC074,Canadilla Canadilla
Room 231,Tuesday,9:30:00,10:00:00,197,SEC047,Gabiola Gabiola
Room 231,Tuesday,16:00:00,17:00:00,20,SEC076,De Lara De Lara
Room 231,Wednesday,12:00:00,13:00:00,11,SEC039,Manago Manago
