Room Name,Day,Start Time,End Time,Subject Code,Section ID,Teacher Name
Room 241,Friday,8:30:00,9:30:00,168,SEC044,Acebes Acebes
Room 241,Friday,11:00:00,12:00:00,226,SEC075,Layag Layag
Room 241,Monday,16:00:00,17:00:00,220,SEC050,Ballesteros Ballesteros
Room 241,Saturday,10:30:00,11:00:00,219,SEC075,Ballesteros Ballesteros
Room 241,Saturday,14:00:00,15:00:00,193,SEC059,Ramirez Ramirez
Room 241,Thursday,10:00:00,11:00:00,158,SEC068,Binaluyo Binaluyo
Room 241,Thursday,14:00:00,15:00:00,167,SEC033,Laque Laque
Room 241,Thursday,15:00:00,16:00:00,221,SEC041,Ballesteros Ballesteros
Room 241,Tuesday,12:00:00,13:00:00,188,SEC072,Cadiente Cadiente
Room 241,Wednesday,15:00:00,16:00:00,22,SEC050,Gumabon Gumabon
