Room Name,Day,Start Time,End Time,Subject Code,Section ID,Teacher Name
Room 128,Friday,7:30:00,8:30:00,Homeroom,SEC028,Ballesteros Ballesteros
Room 128,Friday,12:00:00,13:00:00,19,SEC040,De Lara De Lara
Room 128,Monday,8:30:00,9:30:00,2,SEC061,Cabrera Cabrera
Room 128,Monday,9:30:00,10:30:00,190,SEC046,Delos Santos Delos Santos
Room 128,Saturday,8:30:00,9:30:00,180,SEC035,Rimarim Rimarim
Room 128,Saturday,11:00:00,12:00:00,15,SEC075,Cabasbas Cabasbas
Room 128,Thursday,7:30:00,8:30:00,202,SEC037,Esquilona Esquilona
Room 128,Thursday,10:00:00,11:00:00,23,SEC076,Gumabon Gumabon
Room 128,Tuesday,9:30:00,10:00:00,152,SEC076,Morales Morales
Room 128,Tuesday,14:00:00,15:00:00,154,SEC068,Obedoza Obedoza
Room 128,Wednesday,7:30:00,8:30:00,1,SEC028,Cabrera Cabrera
Room 128,Wednesday,14:00:00,15:00:00,20,SEC040,De Lara De Lara
Room 128,Wednesday,15:00:00,16:00:00,199,SEC047,Orolaza Orolaza
Room 128,Wednesday,16:00:00,17:00:00,173,SEC044,Alde Alde
