Room Name,Day,Start Time,End Time,Subject Code,Section ID,Teacher Name
Room 203,Friday,12:00:00,13:00:00,25,SEC077,Abanto Abanto
Room 203,Friday,15:00:00,16:00:00,7,SEC061,Cabasbas Cabasbas
Room 203,Friday,16:00:00,17:00:00,186,SEC059,Maniba Maniba
Room 203,Saturday,15:00:00,16:00:00,15,SEC049,Dela Cruz Dela Cruz
Room 203,Thursday,7:30:00,8:30:00,170,SEC044,Orbita Orbita
Room 203,Thursday,8:30:00,9:30:00,187,SEC046,Cadiente Cadiente
Room 203,Thursday,11:00:00,12:00:00,226,SEC039,Layag Layag
Room 203,Thursday,13:00:00,14:00:00,32,SEC051,Barretto Barretto
Room 203,Tuesday,13:00:00,14:00:00,154,SEC042,Obedoza Obedoza
Room 203,Wednesday,9:30:00,10:30:00,25,SEC064,Abanto Abanto
