Room Name,Day,Start Time,End Time,Subject Code,Section ID,Teacher Name
Room 112,Monday,9:30:00,10:00:00,165,SEC033,Napili Napili
Room 112,Monday,10:30:00,11:00:00,161,SEC043,Carrasco Carrasco
Room 112,Monday,16:00:00,17:00:00,202,SEC027,Esquilona Esquilona
Room 112,Saturday,7:30:00,8:30:00,145,SEC023,Fernando Fernando
Room 112,Saturday,9:30:00,10:00:00,23,SEC030,Dinapo Dinapo
Room 112,Saturday,10:30:00,11:00:00,155,SEC042,Achapero Achapero
Room 112,Saturday,12:00:00,13:00:00,190,SEC036,Delos Santos Delos Santos
Room 112,Tuesday,15:00:00,16:00:00,155,SEC022,Achapero Achapero
Room 112,Wednesday,8:30:00,9:30:00,151,SEC029,Valdez Valdez
Room 112,Wednesday,11:00:00,12:00:00,201,SEC073,Esquilona Esquilona
Room 112,Wednesday,16:00:00,17:00:00,1,SEC061,Cabrera Cabrera
